Toasty, Fire
Bernie, Fire
Calcifer, Fire
Spitfire, Fire
Natsu, Fire
Fuego, Fire
Apollo, Fire
Zuko, Fire
Azula, Fire
Flambe, Fire
Charcoal, Fire
Hephaestus, Fire
Hestia, Fire
Ignis, Fire
Cayenne, Fire
Bubbles, Water
Squirt, Water
Sheldon, Water
Pearl, Water
Nemo, Water
Ariel, Water
Poseidon, Water
Percy, Water
Marina, Water
River, Water
Brook, Water
Barnacle, Water
Loch, Water
Dory, Water
Triton, Water
Sprout, Grass
Basil, Grass
Rosemary, Grass
Sage, Grass
Willow, Grass
Groot, Grass
Fern, Grass
Maple, Grass
Oakley, Grass
Bud, Grass
Petal, Grass
Thorn, Grass
Clover, Grass
Ivy, Grass
Pikmin, Grass
Sparkplug, Electric
Wattson, Electric
Edison, Electric
Tesla, Electric
Zeus, Electric
Thor, Electric
Zippy, Electric
Buzz, Electric
Raiden, Electric
Dynamo, Electric
Jolt, Electric
Ororo, Electric
Pikaboo, Electric
Joules, Electric
Faraday, Electric
Frosty, Ice
Elsa, Ice
Yeti, Ice
Shiver, Ice
Yuki, Ice
Crystal, Ice
Borealis, Ice
Nanook, Ice
Koda, Ice
Chilly, Ice
Slushie, Ice
Olaf, Ice
Sub-Zero, Ice
Flurry, Ice
Polaris, Ice
Balboa, Fighting
Tyson, Fighting
Ali, Fighting
Jackie, Fighting
Bruce, Fighting
Champ, Fighting
Buster, Fighting
Duke, Fighting
Rambo, Fighting
Brawler, Fighting
Knuckles, Fighting
Bruiser, Fighting
Mac, Fighting
Ryu, Fighting
Ken, Fighting
Toxie, Poison
Stinky, Poison
Monty, Poison
Nagini, Poison
Sly, Poison
Hex, Poison
Voodoo, Poison
Plague, Poison
Bane, Poison
Morbius, Poison
Ivy, Poison
Venom, Poison
Biohazard, Poison
Arsenic, Poison
Cyanide, Poison
Dusty, Ground
Sandy, Ground
Terra, Ground
Gaia, Ground
Cliff, Ground
Mason, Ground
Toph, Ground
Tremor, Ground
Dune, Ground
Sahara, Ground
Geo, Ground
Mudpie, Ground
Peat, Ground
Clay, Ground
Diggy, Ground
Skye, Flying
Robin, Flying
Tweety, Flying
Orville, Flying
Wilbur, Flying
Amelia, Flying
Falcon, Flying
Hawk, Flying
Icarus, Flying
Zephyr, Flying
Gale, Flying
Hermes, Flying
Sora, Flying
Aang, Flying
Pilot, Flying
Brain, Psychic
Pinky, Psychic
Houdini, Psychic
Merlin, Psychic
Sabrina, Psychic
Uri, Psychic
Yoda, Psychic
Freud, Psychic
Jung, Psychic
Neo, Psychic
Oracle, Psychic
Raven, Psychic
Zelda, Psychic
Kinesis, Psychic
Psy, Psychic
Bugsy, Bug
Heimlich, Bug
Flik, Bug
Weaver, Bug
Charlotte, Bug
Mothra, Bug
Beetle, Bug
Hopper, Bug
Mantis, Bug
Sting, Bug
Pollen, Bug
Nectar, Bug
Thorax, Bug
Ant-Man, Bug
Silk, Bug
Rocky, Rock
Pebble, Rock
BamBam, Rock
Slate, Rock
Flint, Rock
Onyx, Rock
Granite, Rock
Boulder, Rock
Mason, Rock
Petra, Rock
Ruby, Rock
Jasper, Rock
Cole, Rock
Gemma, Rock
Korg, Rock
Casper, Ghost
Spooky, Ghost
Boo, Ghost
Phantom, Ghost
Grimm, Ghost
Hades, Ghost
Beetlejuice, Ghost
Zero, Ghost
Edgar, Ghost
Poe, Ghost
Specter, Ghost
Spirit, Ghost
Wraith, Ghost
Banshee, Ghost
Ghoul, Ghost
Spyro, Dragon
Smaug, Dragon
Draco, Dragon
Toothless, Dragon
Mushu, Dragon
Falcor, Dragon
Tiamat, Dragon
Norbert, Dragon
Puff, Dragon
Rex, Dragon
Godzilla, Dragon
Yoshi, Dragon
Shenron, Dragon
Balerion, Dragon
Drogon, Dragon
Shadow, Dark
Midnight, Dark
Eclipse, Dark
Luna, Dark
Nyx, Dark
Loki, Dark
Vader, Dark
Dracula, Dark
Ozzy, Dark
Salem, Dark
Diablo, Dark
Batman, Dark
Morpheus, Dark
Reaper, Dark
Emo, Dark
Rusty, Steel
Bender, Steel
Tony, Steel
Optimus, Steel
Megatron, Steel
Rivet, Steel
Gear, Steel
Cog, Steel
Clank, Steel
Steelie, Steel
Forge, Steel
Alloy, Steel
IronGiant, Steel
Terminator, Steel
Al, Steel
Pixie, Fairy
Tinkerbell, Fairy
Navi, Fairy
Peach, Fairy
Daisy, Fairy
Cleo, Fairy
Bella, Fairy
Stella, Fairy
Cupid, Fairy
Ariel, Fairy
Titania, Fairy
Oberon, Fairy
Puck, Fairy
Sprite, Fairy
Fae, Fairy
Peanut, Normal
Bean, Normal
Muffin, Normal
Biscuit, Normal
Waffles, Normal
Pancake, Normal
Noodle, Normal
Dumpling, Normal
Nugget, Normal
Tater, Normal
Puffin, Normal
Snuggles, Normal, Fairy
Fluffy, Normal
Buddy, Normal
Spot, Normal
Tank, Rock, Steel
Dozer, Ground, Fighting
Sniper, Water, Dark
Maverick, Flying, Fire
Havoc, Dragon, Dark
